Date,Patient_Count
2024-02-08,35
2024-02-09,31
2024-02-10,30
2024-02-11,25
2024-02-12,29
2024-02-13,27
2024-02-14,40
2024-02-15,18
2024-02-16,29
2024-02-17,28
2024-02-18,28
2024-02-19,28
2024-02-20,32
2024-02-21,33
2024-02-22,34
2024-02-23,30
2024-02-24,25
2024-02-25,28
2024-02-26,32
2024-02-27,35
2024-02-28,28
2024-02-29,22
2024-03-01,31
2024-03-02,24
2024-03-03,27
2024-03-04,20
2024-03-05,33
2024-03-06,21
2024-03-07,33
2024-03-08,33
2024-03-09,38
2024-03-10,32
2024-03-11,28
2024-03-12,29
2024-03-13,30
2024-03-14,43
2024-03-15,25
2024-03-16,50
2024-03-17,31
2024-03-18,21
2024-03-19,37
2024-03-20,16
2024-03-21,23
2024-03-22,35
2024-03-23,23
2024-03-24,43
2024-03-25,33
2024-03-26,21
2024-03-27,28
2024-03-28,19
2024-03-29,29
2024-03-30,22
2024-03-31,28
2024-04-01,29
2024-04-02,20
2024-04-03,33
2024-04-04,30
2024-04-05,34
2024-04-06,35
2024-04-07,36
2024-04-08,43
2024-04-09,25
2024-04-10,29
2024-04-11,27
2024-04-12,24
2024-04-13,29
2024-04-14,23
2024-04-15,30
2024-04-16,25
2024-04-17,34
2024-04-18,30
2024-04-19,32
2024-04-20,38
2024-04-21,28
2024-04-22,29
2024-04-23,34
2024-04-24,36
2024-04-25,39
2024-04-26,26
2024-04-27,38
2024-04-28,38
2024-04-29,29
2024-04-30,43
2024-05-01,31
2024-05-02,35
2024-05-03,31
2024-05-04,24
2024-05-05,26
2024-05-06,33
2024-05-07,33
